km_driven,mileage,age,Petrol,Diesel,Electric,fuel_type
67600,18.5,8,1,0,0,Petrol
35000,15.6,12,1,0,0,Petrol
55000,16.8,11,1,0,0,Petrol
33026,24.7,5,1,0,0,Petrol
80000,16.5,6,0,1,0,Diesel
73000,24.2,8,0,1,0,Diesel
51000,15.5,13,1,0,0,Petrol
81000,28.4,9,0,1,0,Diesel
64857,20.0,13,0,1,0,Diesel
66916,18.9,8,1,0,0,Petrol
52000,20.4,8,1,0,0,Petrol
36908,15.4,7,0,1,0,Diesel
82400,19.3,15,0,1,0,Diesel
56795,26.2,9,0,0,0,Petrol
69000,18.88,9,0,1,0,Diesel
35000,21.1,6,1,0,0,Petrol
129238,12.8,12,0,1,0,Diesel
55200,17.11,8,0,1,0,Diesel
90000,20.36,15,1,0,0,Petrol
40000,20.5,5,0,1,0,Diesel
19000,16.36,9,0,1,0,Diesel
50000,20.5,7,0,1,0,Diesel
42000,19.01,8,0,1,0,Diesel
70000,20.5,9,0,1,0,Diesel
76000,22.9,11,0,1,0,Diesel
18000,7.81,4,1,0,0,Petrol
72422,15.37,11,1,0,0,Petrol
50000,17.0,17,1,0,0,Petrol
72341,22.77,9,0,1,0,Diesel
77500,26.59,8,0,1,0,Diesel
73000,21.1,13,1,0,0,Petrol
36000,22.95,5,0,1,0,Diesel
44000,19.02,6,1,0,0,Petrol
100000,15.4,8,0,1,0,Diesel
120000,15.96,8,0,1,0,Diesel
56210,26.0,8,0,1,0,Diesel
138938,19.4,12,0,1,0,Diesel
146781,12.8,12,0,1,0,Diesel
100000,28.4,5,0,1,0,Diesel
50000,17.8,5,1,0,0,Petrol
45156,21.21,5,1,0,0,Petrol
58072,24.0,5,0,1,0,Diesel
7400,26.08,3,0,0,0,Petrol
39612,21.79,6,1,0,0,Petrol
35000,18.9,10,1,0,0,Petrol
54000,24.7,6,1,0,0,Petrol
69000,26.2,10,0,0,0,Petrol
93800,16.73,13,0,1,0,Diesel
70000,10.93,13,1,0,0,Petrol
7500,23.0,5,0,1,0,Diesel
20564,26.8,6,0,0,0,Petrol
37300,18.2,7,1,0,0,Petrol
64000,17.92,12,1,0,0,Petrol
80000,24.0,9,0,1,0,Diesel
21000,19.2,5,0,1,0,Diesel
60000,26.0,8,0,1,0,Diesel
58832,25.2,6,0,1,0,Diesel
126000,13.0,8,0,1,0,Diesel
110000,15.4,6,0,1,0,Diesel
120000,15.1,9,0,1,0,Diesel
50000,20.51,9,1,0,0,Petrol
63000,21.79,10,1,0,0,Petrol
75000,14.74,9,0,1,0,Diesel
35330,27.62,8,0,1,0,Diesel
48518,19.3,6,0,1,0,Diesel
62000,21.9,10,0,1,0,Diesel
16600,22.74,9,1,0,0,Petrol
52000,16.6,17,1,0,0,Petrol
10787,21.7,4,0,1,0,Diesel
28800,14.3,8,1,0,0,Petrol
57000,17.01,11,1,0,0,Petrol
20000,24.7,5,1,0,0,Petrol
34000,13.6,6,1,0,0,Petrol
5000,17.8,7,1,0,0,Petrol
44000,26.21,6,0,1,0,Diesel
5000,21.21,5,1,0,0,Petrol
19444,13.9,4,1,0,0,Petrol
133592,28.4,12,0,1,0,Diesel
40000,17.8,5,1,0,0,Petrol
71000,17.0,11,1,0,0,Petrol
70000,16.8,10,1,0,0,Petrol
34000,12.99,9,0,1,0,Diesel
76091,20.0,10,0,1,0,Diesel
35093,27.28,5,0,1,0,Diesel
50000,17.0,14,1,0,0,Petrol
74000,12.05,14,1,0,0,Petrol
90000,22.32,11,0,1,0,Diesel
34277,17.8,8,1,0,0,Petrol
51000,16.07,12,0,1,0,Diesel
69000,19.0,11,0,0,0,Petrol
50000,19.3,8,0,1,0,Diesel
63500,19.5,5,0,1,0,Diesel
38000,18.25,6,0,1,0,Diesel
185000,12.8,15,0,1,0,Diesel
68500,15.4,6,0,1,0,Diesel
160000,23.2,11,0,1,0,Diesel
2950,20.04,4,1,0,0,Petrol
7000,16.47,5,1,0,0,Petrol
65000,25.44,11,0,1,0,Diesel
35966,17.5,13,1,0,0,Petrol
45000,20.36,13,1,0,0,Petrol
78000,17.3,13,0,0,0,Petrol
10450,28.4,4,0,1,0,Diesel
55000,15.04,6,0,1,0,Diesel
80000,25.0,9,0,1,0,Diesel
39000,24.0,6,0,1,0,Diesel
40000,22.32,9,0,1,0,Diesel
90000,15.1,9,0,1,0,Diesel
38672,15.2,10,0,1,0,Diesel
58000,15.5,9,1,0,0,Petrol
15000,18.9,6,1,0,0,Petrol
10000,17.5,4,1,0,0,Petrol
5000,17.57,5,1,0,0,Petrol
39000,19.01,10,0,1,0,Diesel
54500,23.26,8,1,0,0,Petrol
70000,18.48,12,0,1,0,Diesel
110000,17.0,17,1,0,0,Petrol
31318,17.8,5,1,0,0,Petrol
54500,19.12,6,1,0,0,Petrol
63000,15.37,9,1,0,0,Petrol
24000,22.48,6,0,1,0,Diesel
40000,25.4,8,1,0,0,Petrol
9500,17.99,3,1,0,0,Petrol
19000,22.3,7,1,0,0,Petrol
48000,17.0,13,1,0,0,Petrol
40000,12.07,9,0,1,0,Diesel
16500,17.43,5,1,0,0,Petrol
55000,16.55,6,0,1,0,Diesel
14200,17.0,4,1,0,0,Petrol
40000,21.38,6,0,1,0,Diesel
125000,23.59,11,0,1,0,Diesel
37000,14.84,11,0,1,0,Diesel
57000,20.45,10,0,1,0,Diesel
23354,25.1,5,0,1,0,Diesel
67000,21.79,15,1,0,0,Petrol
10382,25.0,13,0,1,0,Diesel
89000,15.96,9,0,1,0,Diesel
46412,21.7,9,0,1,0,Diesel
35000,20.36,13,1,0,0,Petrol
48000,17.0,18,1,0,0,Petrol
72000,23.2,10,0,1,0,Diesel
162000,23.03,10,0,1,0,Diesel
150000,22.9,12,0,1,0,Diesel
20000,20.85,8,1,0,0,Petrol
15000,22.0,4,1,0,0,Petrol
47682,16.0,14,1,0,0,Petrol
122772,12.05,10,0,1,0,Diesel
75000,11.78,9,0,1,0,Diesel
35000,16.3,7,1,0,0,Petrol
60000,28.09,6,0,1,0,Diesel
